"scenario_a","scenario_b","outcome","label","n_a","n_b","mean_a","mean_b","diff","diff_pct","ci_low","ci_high","t_stat","df","p_raw","cohens_d","d_magnitude","p_adj_holm","sig_holm"
"BuddyProgram","Baseline","retention_rate","Retention rate (%)",300,300,48.4633333333333,45.0666666666667,3.39666666666666,7.5369822485207,2.49810384451443,4.29522948881889,7.42391519787006,597.628867700166,3.93459159400361e-13,0.606160137615828,"medium",1.18037747820108e-11,TRUE
"BuddyProgram","Baseline","avg_motivation","Mean motivation",300,300,0.717126132239042,0.712003867469906,0.00512226476913547,0.719415301399604,-0.00281842596073559,0.0130629554990065,1.2668789516341,595.695593670915,0.205693665581244,0.103440233245854,"negligible",1,FALSE
"BuddyProgram","Baseline","avg_language_cefr","Language CEFR gain",300,300,1.04476490155953,1.04608053828634,-0.00131563672680901,-0.125768206046951,-0.023248128259721,0.020616854806103,-0.11780907707059,596.129485597172,0.906258619619801,-0.0096190708630388,"negligible",1,FALSE
"BuddyProgram","Baseline","cross_group_tie_ratio","Cross-group tie ratio",300,300,0.516700892610485,0.501868220365944,0.0148326722445415,2.95549143034522,0.00343687721042171,0.0262284672786614,2.55637022906259,584.068496509952,0.0108288866444489,0.208726755161503,"small",0.205748846244529,FALSE
"BuddyProgram","Baseline","female_dropout_rate","Female dropout rate (%)",300,300,53.0893664075449,56.3253589663768,-3.23599255883187,-5.74517875822787,-4.41203641971108,-2.05994869795267,-5.4039753995022,597.053455979951,9.43073142563135e-08,-0.441232743711109,"small",2.64060479917678e-06,TRUE
"BuddyProgram","Baseline","male_dropout_rate","Male dropout rate (%)",300,300,49.9895184080333,53.5834312951864,-3.5939128871531,-6.70713465017674,-4.81205777167956,-2.37576800262663,-5.79424191666041,597.965110115243,1.11055891112123e-08,-0.473097871402134,"small",3.22062084225158e-07,TRUE
"RandomBuddy","Baseline","retention_rate","Retention rate (%)",300,300,50.63,45.0666666666667,5.56333333333333,12.344674556213,4.63971518490332,6.48695148176335,11.8297571578333,594.467592166657,3.82263408160509e-29,0.965895627257617,"large",1.37614826937783e-27,TRUE
"RandomBuddy","Baseline","avg_motivation","Mean motivation",300,300,0.719894193863456,0.712003867469906,0.00789032639354958,1.10818588971823,-1.26111453030644e-05,0.0157932639324022,1.96082576418133,594.883883990986,0.0503655271565962,0.160100753224906,"negligible",0.906579488818732,FALSE
"RandomBuddy","Baseline","avg_language_cefr","Language CEFR gain",300,300,1.04639124198777,1.04608053828634,0.000310703701431381,0.0297016998270868,-0.0206148803137773,0.02123628771664,0.0291621415579431,583.03789937735,0.976745254199551,0.00238107888745909,"negligible",1,FALSE
"RandomBuddy","Baseline","cross_group_tie_ratio","Cross-group tie ratio",300,300,0.52533171517413,0.501868220365944,0.023463494808186,4.67523024093402,0.0122449402152829,0.0346820494010891,4.10786334749954,576.894750857166,4.57131529374351e-05,0.33540563781517,"small",0.00114282882343588,TRUE
"RandomBuddy","Baseline","female_dropout_rate","Female dropout rate (%)",300,300,50.754795511134,56.3253589663768,-5.57056345524276,-9.88997417409819,-6.75089519170277,-4.39023171878276,-9.26883050252016,596.694334791798,3.39020448653399e-19,-0.756796841450633,"medium",1.11876748055622e-17,TRUE
"RandomBuddy","Baseline","male_dropout_rate","Male dropout rate (%)",300,300,47.9385606114231,53.5834312951864,-5.64487068376327,-10.5347316275178,-6.87556217615025,-4.41417919137629,-9.0080941189199,597.90201590724,2.7955340474582e-18,-0.735507804877325,"medium",8.94570895186625e-17,TRUE
"CentralityBuddy","Baseline","retention_rate","Retention rate (%)",300,300,50.5566666666667,45.0666666666667,5.49,12.1819526627219,4.56759131894976,6.41240868105023,11.6891207454649,594.684733413483,1.47311590842784e-28,0.954412712272345,"large",5.15590567949745e-27,TRUE
"CentralityBuddy","Baseline","avg_motivation","Mean motivation",300,300,0.717696357716054,0.712003867469906,0.00569249024614804,0.799502714272636,-0.00202126068086514,0.0134062411731612,1.44936765556386,588.702573244633,0.147767411363343,0.118340373527513,"negligible",1,FALSE
"CentralityBuddy","Baseline","avg_language_cefr","Language CEFR gain",300,300,1.05379481174878,1.04608053828634,0.00771427346244424,0.737445462381088,-0.0136082733346126,0.0290368202595011,0.710552306235634,589.877607668423,0.477642535817821,0.0580163528611706,"negligible",1,FALSE
"CentralityBuddy","Baseline","cross_group_tie_ratio","Cross-group tie ratio",300,300,0.523308756142202,0.501868220365944,0.0214405357762583,4.27214454037847,0.0105860413851678,0.0322950301673487,3.87989092000002,556.603265917355,0.000117009588742571,0.316791767055255,"small",0.00280823012982171,TRUE
"CentralityBuddy","Baseline","female_dropout_rate","Female dropout rate (%)",300,300,50.8232203471894,56.3253589663768,-5.50213861918741,-9.76849277156296,-6.65782821471478,-4.34644902366003,-9.35014454684654,597.980550781792,1.72736291735252e-19,-0.763436105368022,"medium",5.87303391899857e-18,TRUE
"CentralityBuddy","Baseline","male_dropout_rate","Male dropout rate (%)",300,300,48.0481985384163,53.5834312951864,-5.53523275677008,-10.3301200072033,-6.7939711393397,-4.27649437420046,-8.63636871086377,596.11098643033,5.30917058294657e-17,-0.705156552405146,"medium",1.64584288071344e-15,TRUE
"RandomBuddy","BuddyProgram","retention_rate","Retention rate (%)",300,300,50.63,48.4633333333333,2.16666666666667,4.47073388816288,1.23222546505431,3.10110786827903,4.55376380198851,596.370896194409,6.39109631524815e-06,0.371813257467606,"small",0.0001725596005117,TRUE
"RandomBuddy","BuddyProgram","avg_motivation","Mean motivation",300,300,0.719894193863456,0.717126132239042,0.00276806162441412,0.385993690645683,-0.00488265044009459,0.0104187736889228,0.710561971635338,597.937489144316,0.477632764659875,0.0580171420377517,"negligible",1,FALSE
"RandomBuddy","BuddyProgram","avg_language_cefr","Language CEFR gain",300,300,1.04639124198777,1.04476490155953,0.00162634042824039,0.155665683811999,-0.0186445193382678,0.0218972001947485,0.157571254839611,591.463928962151,0.874848432679742,0.0128656390829034,"negligible",1,FALSE
"RandomBuddy","BuddyProgram","cross_group_tie_ratio","Cross-group tie ratio",300,300,0.52533171517413,0.516700892610485,0.00863082256364445,1.67037113484354,-0.00165427806595376,0.0189159231932427,1.6480594861048,597.140067794511,0.099866486850998,0.134563493557007,"negligible",1,FALSE
"RandomBuddy","BuddyProgram","female_dropout_rate","Female dropout rate (%)",300,300,50.754795511134,53.0893664075449,-2.33457089641089,-4.39743597331594,-3.53799934781244,-1.13114244500933,-3.80991079332949,597.970914665927,0.000153394138985791,-0.311077913639317,"small",0.0035280651966732,TRUE
"RandomBuddy","BuddyProgram","male_dropout_rate","Male dropout rate (%)",300,300,47.9385606114231,49.9895184080333,-2.05095779661018,-4.10277566562951,-3.2770362606292,-0.824879332591154,-3.28523771146078,597.750309582024,0.00107857308295575,-0.268238535894256,"small",0.0226500347420707,TRUE
"CentralityBuddy","BuddyProgram","retention_rate","Retention rate (%)",300,300,50.5566666666667,48.4633333333333,2.09333333333333,4.3194167411789,1.16008734706863,3.02657931959804,4.40526884523872,596.518382563128,1.25256619990611e-05,0.359688695020485,"small",0.000325667211975589,TRUE
"CentralityBuddy","BuddyProgram","avg_motivation","Mean motivation",300,300,0.717696357716054,0.717126132239042,0.000570225477012576,0.0795153671547561,-0.00688479564907492,0.00802524660310007,0.150220538745174,595.56256798927,0.88064148266425,0.0122654556270555,"negligible",1,FALSE
"CentralityBuddy","BuddyProgram","avg_language_cefr","Language CEFR gain",300,300,1.05379481174878,1.04476490155953,0.00902991018925325,0.864300683893023,-0.0116506862555085,0.029710506634015,0.857534693427273,595.729618091259,0.391494298413477,0.0700174145210274,"negligible",1,FALSE
"CentralityBuddy","BuddyProgram","cross_group_tie_ratio","Cross-group tie ratio",300,300,0.523308756142202,0.516700892610485,0.00660786353171672,1.278856612446,-0.00327828525026947,0.0164940123137029,1.31272973521531,589.019947208003,0.18978526953821,0.107183934048546,"negligible",1,FALSE
"CentralityBuddy","BuddyProgram","female_dropout_rate","Female dropout rate (%)",300,300,50.8232203471894,53.0893664075449,-2.26614606035553,-4.26854983154117,-3.44542293225463,-1.08686918845643,-3.77399320797335,597.304581971793,0.000176683613717649,-0.30814525507547,"small",0.00388703950178828,TRUE
"CentralityBuddy","BuddyProgram","male_dropout_rate","Male dropout rate (%)",300,300,48.0481985384163,49.9895184080333,-1.94131986961698,-3.88345383480432,-3.1955500388526,-0.687089700381365,-3.03984489803836,595.567864334119,0.00247090053748825,-0.248202296579891,"small",0.049418010749765,TRUE
"CentralityBuddy","RandomBuddy","retention_rate","Retention rate (%)",300,300,50.5566666666667,50.63,-0.0733333333333377,-0.144841661728891,-1.03071315952001,0.884046492853334,-0.150433697942124,597.996455853368,0.880473183598071,-0.0122828600026058,"negligible",1,FALSE
"CentralityBuddy","RandomBuddy","avg_motivation","Mean motivation",300,300,0.717696357716054,0.719894193863456,-0.00219783614740154,-0.30529988519652,-0.00961259017982119,0.0052169178850181,-0.582142199831765,596.275120812004,0.560690939557445,-0.0475317115776381,"negligible",1,FALSE
"CentralityBuddy","RandomBuddy","avg_language_cefr","Language CEFR gain",300,300,1.05379481174878,1.04639124198777,0.00740356976101286,0.70753361304408,-0.0122048432377017,0.0270119827597274,0.741529407668239,596.861665389882,0.458664171807625,0.0605456226018479,"negligible",1,FALSE
"CentralityBuddy","RandomBuddy","cross_group_tie_ratio","Cross-group tie ratio",300,300,0.523308756142202,0.52533171517413,-0.00202295903192773,-0.385082220146786,-0.0117037860930891,0.00765786802923359,-0.410401652479534,593.616969922671,0.681659417605866,-0.0335091546056628,"negligible",1,FALSE
"CentralityBuddy","RandomBuddy","female_dropout_rate","Female dropout rate (%)",300,300,50.8232203471894,50.754795511134,0.0684248360553568,0.134814524157321,-1.11512800954642,1.25197768165713,0.113541746491915,596.99225516521,0.90963923958371,0.00927064478032115,"negligible",1,FALSE
"CentralityBuddy","RandomBuddy","male_dropout_rate","Male dropout rate (%)",300,300,48.0481985384163,47.9385606114231,0.109637926993194,0.228705087501249,-1.15677571702124,1.37605157100763,0.170025818733831,596.869392055058,0.865047445063964,0.0138825499665611,"negligible",1,FALSE
