"scenario_a","scenario_b","outcome","n_a","n_b","mean_a","mean_b","diff","cohens_d","d_magnitude","t_stat","p_raw","p_adj_holm","sig_holm"
"Suboptimal Composition","Baseline","retention_rate",300,300,27.89,45.0666666666667,-17.1766666666667,-3.31448618733542,"large",-40.5939995923732,1.73284077839332e-172,6.06494272437663e-171,TRUE
"Suboptimal Composition","Baseline","avg_motivation",300,300,0.633545427193615,0.712003867469906,-0.0784584402762912,-1.35396716221127,"large",-16.5826433795088,1.11741504309084e-50,2.23483008618168e-49,TRUE
"Suboptimal Composition","Baseline","avg_language_cefr",300,300,0.953616885385367,1.04608053828634,-0.092463652900968,-0.653891917708638,"medium",-8.00850772658066,6.08588920445598e-15,6.69447812490158e-14,TRUE
"Suboptimal Composition","Baseline","cross_group_tie_ratio",300,300,0.343001781565607,0.501868220365944,-0.158866438800336,-1.33258438646837,"large",-16.3207589302364,3.06416351998979e-47,5.51549433598162e-46,TRUE
"Suboptimal Composition","Baseline","female_dropout_rate",300,300,73.2303812245378,56.3253589663768,16.905022258161,2.42421683916834,"large",29.6904714091256,1.40538175787486e-119,4.07560709783711e-118,TRUE
"Suboptimal Composition","Baseline","male_dropout_rate",300,300,70.9378853676739,53.5834312951864,17.3544540724875,2.43767310645148,"large",29.8552763525565,1.02839525024939e-119,3.08518575074817e-118,TRUE
"OpenPopulation","Baseline","retention_rate",300,300,40.6077442731146,45.0666666666667,-4.45892239355211,-0.824606886828841,"large",-10.0993305555781,3.02676483377719e-22,3.93479428391035e-21,TRUE
"OpenPopulation","Baseline","avg_motivation",300,300,0.695863457495842,0.712003867469906,-0.0161404099740645,-0.341097807407212,"small",-4.17757790264899,3.39801242776434e-05,0.000135920497110573,TRUE
"OpenPopulation","Baseline","avg_language_cefr",300,300,0.851223076903787,1.04608053828634,-0.194857461382549,-1.43637076631492,"large",-17.5918772946101,4.36934194691172e-56,9.17561808851462e-55,TRUE
"OpenPopulation","Baseline","cross_group_tie_ratio",300,300,0.499376402537763,0.501868220365944,-0.00249181782818103,-0.0321986292399662,"negligible",-0.394351060274878,0.693462563014993,0.975132091554793,FALSE
"OpenPopulation","Baseline","female_dropout_rate",300,300,60.7629261619301,56.3253589663768,4.43756719555332,0.642436254677808,"medium",7.86820508112666,1.7092857382589e-14,1.7092857382589e-13,TRUE
"OpenPopulation","Baseline","male_dropout_rate",300,300,58.0184582355262,53.5834312951864,4.43502694033975,0.594363779400563,"medium",7.27943990561761,1.06192571187236e-12,9.55733140685123e-12,TRUE
"SuboptimalOpen","Baseline","retention_rate",300,300,26.0040642475914,45.0666666666667,-19.0626024190753,-3.74565803593342,"large",-45.8747546949615,6.19431902757677e-195,2.22995484992764e-193,TRUE
"SuboptimalOpen","Baseline","avg_motivation",300,300,0.609028917607696,0.712003867469906,-0.102974949862211,-1.82407669965764,"large",-22.3402858293059,3.46624578407408e-80,7.97236530337039e-79,TRUE
"SuboptimalOpen","Baseline","avg_language_cefr",300,300,0.772871388246435,1.04608053828634,-0.273209150039901,-1.99556932083855,"large",-24.4406329120341,6.30477879529455e-92,1.63924248677658e-90,TRUE
"SuboptimalOpen","Baseline","cross_group_tie_ratio",300,300,0.351337237878834,0.501868220365944,-0.15053098248711,-1.30933750345617,"large",-16.0360439227861,3.28654632715054e-46,5.58712875615592e-45,TRUE
"SuboptimalOpen","Baseline","female_dropout_rate",300,300,74.7641354873672,56.3253589663768,18.4387765209904,2.74430408585419,"large",33.610723546889,8.43363865679852e-139,2.69876437017553e-137,TRUE
"SuboptimalOpen","Baseline","male_dropout_rate",300,300,73.2182440969885,53.5834312951864,19.6348128018021,2.82999598611354,"large",34.6602307005134,8.89843994662487e-143,2.93648518238621e-141,TRUE
"OpenPopulation","Suboptimal Composition","retention_rate",300,300,40.6077442731146,27.89,12.7177442731146,2.5195825317393,"large",30.8584578379555,2.02670330450622e-125,6.28278024396928e-124,TRUE
"OpenPopulation","Suboptimal Composition","avg_motivation",300,300,0.695863457495842,0.633545427193615,0.0623180303022267,1.1392295960456,"large",13.9526560509436,7.41304600951114e-38,1.03782644133156e-36,TRUE
"OpenPopulation","Suboptimal Composition","avg_language_cefr",300,300,0.851223076903787,0.953616885385367,-0.102393808481581,-0.74990204263515,"medium",-9.18438680763476,6.8453148678746e-19,8.21437784144952e-18,TRUE
"OpenPopulation","Suboptimal Composition","cross_group_tie_ratio",300,300,0.499376402537763,0.343001781565607,0.156374620972155,1.30439626218437,"large",15.9755263237266,7.66804074908889e-46,1.22688651985422e-44,TRUE
"OpenPopulation","Suboptimal Composition","female_dropout_rate",300,300,60.7629261619301,73.2303812245378,-12.4674550626077,-1.86487262433075,"large",-22.8399318244766,1.75336211615125e-83,4.38340529037813e-82,TRUE
"OpenPopulation","Suboptimal Composition","male_dropout_rate",300,300,58.0184582355262,70.9378853676739,-12.9194271321478,-1.8606130134214,"large",-22.7877624583231,5.439762791523e-83,1.30554306996552e-81,TRUE
"SuboptimalOpen","Suboptimal Composition","retention_rate",300,300,26.0040642475914,27.89,-1.88593575240862,-0.400817418814067,"small",-4.90899078056943,1.18296715488127e-06,8.28077008416892e-06,TRUE
"SuboptimalOpen","Suboptimal Composition","avg_motivation",300,300,0.609028917607696,0.633545427193615,-0.0245165095859196,-0.390571913723821,"small",-4.78350948242848,2.17318332174312e-06,1.30390999304587e-05,TRUE
"SuboptimalOpen","Suboptimal Composition","avg_language_cefr",300,300,0.772871388246435,0.953616885385367,-0.180745497138933,-1.3118108796969,"large",-16.0663364714447,1.61963883269042e-48,3.07731378211181e-47,TRUE
"SuboptimalOpen","Suboptimal Composition","cross_group_tie_ratio",300,300,0.351337237878834,0.343001781565607,0.00833545631322696,0.056715196389168,"negligible",0.694616459076003,0.487566045777396,0.975132091554793,FALSE
"SuboptimalOpen","Suboptimal Composition","female_dropout_rate",300,300,74.7641354873672,73.2303812245378,1.53375426282935,0.236307657772234,"small",2.89416591927102,0.00394123990859107,0.0118237197257732,TRUE
"SuboptimalOpen","Suboptimal Composition","male_dropout_rate",300,300,73.2182440969885,70.9378853676739,2.28035872931454,0.357561316392064,"small",4.37921388459206,1.40710233710031e-05,7.03551168550156e-05,TRUE
"SuboptimalOpen","OpenPopulation","retention_rate",300,300,26.0040642475914,40.6077442731146,-14.6036800255232,-2.94905832157152,"large",-36.1184405477941,2.72530069098674e-151,9.2660223493549e-150,TRUE
"SuboptimalOpen","OpenPopulation","avg_motivation",300,300,0.609028917607696,0.695863457495842,-0.0868345398881463,-1.63478397493817,"large",-20.0219328913868,4.8653996779033e-67,1.07038792913873e-65,TRUE
"SuboptimalOpen","OpenPopulation","avg_language_cefr",300,300,0.772871388246435,0.851223076903787,-0.078351688657352,-0.594113583800484,"medium",-7.2763756478372,1.08243997498241e-12,9.55733140685123e-12,TRUE
"SuboptimalOpen","OpenPopulation","cross_group_tie_ratio",300,300,0.351337237878834,0.499376402537763,-0.148039164658928,-1.27997647318602,"large",-15.6764462103647,9.82978974402524e-45,1.47446846160379e-43,TRUE
"SuboptimalOpen","OpenPopulation","female_dropout_rate",300,300,74.7641354873672,60.7629261619301,14.0012093254371,2.18102836400406,"large",26.7120330317356,6.09061156774468e-104,1.64446512329106e-102,TRUE
"SuboptimalOpen","OpenPopulation","male_dropout_rate",300,300,73.2182440969885,58.0184582355262,15.1997858614623,2.24923128045562,"large",27.5473447531156,1.44320340631612e-107,4.04096953768513e-106,TRUE
